Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout,Chrome 126.0.0.0,,,29-07-2024 13:22:48,29-07-2024 13:23:44,56.111s,FAILED
,,,,,,,
Test Cases/Web/Succes Login,Chrome 126.0.0.0,,,29-07-2024 13:22:48,29-07-2024 13:22:55,6.487s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,29-07-2024 13:22:49,29-07-2024 13:22:51,2.122s,PASSED
navigateToUrl(baseUrl),Chrome 126.0.0.0,,,29-07-2024 13:22:51,29-07-2024 13:22:51,0.608s,PASSED
"setText(findTestObject(""Success Login/input_username""), ""standard_user"")",Chrome 126.0.0.0,,,29-07-2024 13:22:51,29-07-2024 13:22:53,1.932s,PASSED
"setText(findTestObject(""Success Login/input_password""), password_success)",Chrome 126.0.0.0,,,29-07-2024 13:22:53,29-07-2024 13:22:54,0.627s,PASSED
"click(findTestObject(""Success Login/btn_login""))",Chrome 126.0.0.0,,,29-07-2024 13:22:54,29-07-2024 13:22:54,0.393s,PASSED
"verifyElementVisible(findTestObject(""Success Login/page_title""))",Chrome 126.0.0.0,,,29-07-2024 13:22:54,29-07-2024 13:22:55,0.409s,PASSED
,,,,,,,
Test Cases/Web/Add product to cart,Chrome 126.0.0.0,,,29-07-2024 13:22:55,29-07-2024 13:22:56,0.870s,PASSED
"click(findTestObject(""Homepage/button_add_to_cart""))",Chrome 126.0.0.0,,,29-07-2024 13:22:55,29-07-2024 13:22:55,0.310s,PASSED
"verifyElementVisible(findTestObject(""Homepage/icon_cart_with_product""))",Chrome 126.0.0.0,,,29-07-2024 13:22:55,29-07-2024 13:22:56,0.499s,PASSED
,,,,,,,
Test Cases/Web/Success Checkout Product,Chrome 126.0.0.0,,,29-07-2024 13:23:42,29-07-2024 13:23:44,2.050s,FAILED
"click(findTestObject(""Homepage/btn_cart_icon""))",Chrome 126.0.0.0,,,29-07-2024 13:23:42,29-07-2024 13:23:44,2.025s,FAILED
