Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout,Chrome 126.0.0.0,,,28-07-2024 13:16:27,28-07-2024 13:18:51,2m - 24.536s,FAILED
,,,,,,,
Test Cases/Web/Succes Login,Chrome 126.0.0.0,,,28-07-2024 13:16:27,28-07-2024 13:16:33,5.982s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,28-07-2024 13:16:28,28-07-2024 13:16:30,2.159s,PASSED
navigateToUrl(baseUrl),Chrome 126.0.0.0,,,28-07-2024 13:16:30,28-07-2024 13:16:30,0.470s,PASSED
"setText(findTestObject(""Object Repository/Success Login/Page_Swag Labs/input_Swag Labs_user-name""), username_success)",Chrome 126.0.0.0,,,28-07-2024 13:16:30,28-07-2024 13:16:32,2.070s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Success Login/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 126.0.0.0,,,28-07-2024 13:16:32,28-07-2024 13:16:33,0.385s,PASSED
"click(findTestObject(""Object Repository/Success Login/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 126.0.0.0,,,28-07-2024 13:16:33,28-07-2024 13:16:33,0.355s,PASSED
,,,,,,,
Test Cases/Web/Success Checkout Product,Chrome 126.0.0.0,,,28-07-2024 13:18:17,28-07-2024 13:18:51,34.450s,FAILED
"click(findTestObject(""Homepage/button_add_to_cart""))",Chrome 126.0.0.0,,,28-07-2024 13:18:17,28-07-2024 13:18:51,34.436s,FAILED
