Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout,Chrome 126.0.0.0,,,29-07-2024 13:21:26,29-07-2024 13:21:37,11.490s,PASSED
,,,,,,,
Test Cases/Web/Succes Login,Chrome 126.0.0.0,,,29-07-2024 13:21:26,29-07-2024 13:21:33,6.905s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,29-07-2024 13:21:26,29-07-2024 13:21:28,2.140s,PASSED
navigateToUrl(baseUrl),Chrome 126.0.0.0,,,29-07-2024 13:21:28,29-07-2024 13:21:29,0.916s,PASSED
"setText(findTestObject(""Success Login/input_username""), ""standard_user"")",Chrome 126.0.0.0,,,29-07-2024 13:21:29,29-07-2024 13:21:31,1.976s,PASSED
"setText(findTestObject(""Success Login/input_password""), password_success)",Chrome 126.0.0.0,,,29-07-2024 13:21:31,29-07-2024 13:21:32,0.615s,PASSED
"click(findTestObject(""Success Login/btn_login""))",Chrome 126.0.0.0,,,29-07-2024 13:21:32,29-07-2024 13:21:32,0.398s,PASSED
"verifyElementVisible(findTestObject(""Success Login/page_title""))",Chrome 126.0.0.0,,,29-07-2024 13:21:32,29-07-2024 13:21:33,0.415s,PASSED
,,,,,,,
Test Cases/Web/Add product to cart,Chrome 126.0.0.0,,,29-07-2024 13:21:33,29-07-2024 13:21:34,0.921s,PASSED
"click(findTestObject(""Homepage/button_add_to_cart""))",Chrome 126.0.0.0,,,29-07-2024 13:21:33,29-07-2024 13:21:33,0.318s,PASSED
"verifyElementVisible(findTestObject(""Homepage/icon_cart_with_product""))",Chrome 126.0.0.0,,,29-07-2024 13:21:33,29-07-2024 13:21:34,0.514s,PASSED
,,,,,,,
Test Cases/Web/Success Checkout Product,Chrome 126.0.0.0,,,29-07-2024 13:21:34,29-07-2024 13:21:37,3.427s,PASSED
"click(findTestObject(""Homepage/btn_cart_icon""))",Chrome 126.0.0.0,,,29-07-2024 13:21:34,29-07-2024 13:21:34,0.306s,PASSED
"click(findTestObject(""Cart Page/btn_checkout""))",Chrome 126.0.0.0,,,29-07-2024 13:21:34,29-07-2024 13:21:35,0.525s,PASSED
"setText(findTestObject(""Checkout information page/input_name""), ""Peter"")",Chrome 126.0.0.0,,,29-07-2024 13:21:35,29-07-2024 13:21:35,0.831s,PASSED
"setText(findTestObject(""Checkout information page/input_last_name""), ""Parker"")",Chrome 126.0.0.0,,,29-07-2024 13:21:35,29-07-2024 13:21:36,0.822s,PASSED
"setText(findTestObject(""Checkout information page/input_postal_code""), ""12345"")",Chrome 126.0.0.0,,,29-07-2024 13:21:36,29-07-2024 13:21:37,0.831s,PASSED
