Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout,Chrome 126.0.0.0,,,29-07-2024 13:26:47,29-07-2024 13:27:00,13.129s,PASSED
,,,,,,,
Test Cases/Web/Succes Login,Chrome 126.0.0.0,,,29-07-2024 13:26:47,29-07-2024 13:26:54,6.815s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,29-07-2024 13:26:48,29-07-2024 13:26:50,2.372s,PASSED
navigateToUrl(baseUrl),Chrome 126.0.0.0,,,29-07-2024 13:26:50,29-07-2024 13:26:51,0.586s,PASSED
"setText(findTestObject(""Success Login/input_username""), ""standard_user"")",Chrome 126.0.0.0,,,29-07-2024 13:26:51,29-07-2024 13:26:52,1.956s,PASSED
"setText(findTestObject(""Success Login/input_password""), password_success)",Chrome 126.0.0.0,,,29-07-2024 13:26:52,29-07-2024 13:26:53,0.626s,PASSED
"click(findTestObject(""Success Login/btn_login""))",Chrome 126.0.0.0,,,29-07-2024 13:26:53,29-07-2024 13:26:53,0.397s,PASSED
"verifyElementVisible(findTestObject(""Success Login/page_title""))",Chrome 126.0.0.0,,,29-07-2024 13:26:53,29-07-2024 13:26:54,0.440s,PASSED
,,,,,,,
Test Cases/Web/Add product to cart,Chrome 126.0.0.0,,,29-07-2024 13:26:54,29-07-2024 13:26:55,0.945s,PASSED
"click(findTestObject(""Homepage/button_add_to_cart""))",Chrome 126.0.0.0,,,29-07-2024 13:26:54,29-07-2024 13:26:54,0.331s,PASSED
"verifyElementVisible(findTestObject(""Homepage/icon_cart_with_product""))",Chrome 126.0.0.0,,,29-07-2024 13:26:54,29-07-2024 13:26:55,0.507s,PASSED
,,,,,,,
Test Cases/Web/Success Checkout Product,Chrome 126.0.0.0,,,29-07-2024 13:26:55,29-07-2024 13:27:00,5.140s,PASSED
"click(findTestObject(""Homepage/btn_cart_icon""))",Chrome 126.0.0.0,,,29-07-2024 13:26:55,29-07-2024 13:26:55,0.333s,PASSED
"click(findTestObject(""Cart Page/btn_checkout""))",Chrome 126.0.0.0,,,29-07-2024 13:26:55,29-07-2024 13:26:56,0.535s,PASSED
"setText(findTestObject(""Checkout information page/input_name""), ""Peter"")",Chrome 126.0.0.0,,,29-07-2024 13:26:56,29-07-2024 13:26:57,0.847s,PASSED
"setText(findTestObject(""Checkout information page/input_last_name""), ""Parker"")",Chrome 126.0.0.0,,,29-07-2024 13:26:57,29-07-2024 13:26:58,0.826s,PASSED
"setText(findTestObject(""Checkout information page/input_postal_code""), ""12345"")",Chrome 126.0.0.0,,,29-07-2024 13:26:58,29-07-2024 13:26:58,0.829s,PASSED
"click(findTestObject(""Checkout information page/btn_continue""))",Chrome 126.0.0.0,,,29-07-2024 13:26:58,29-07-2024 13:26:59,0.544s,PASSED
"click(findTestObject(""Object Overview Page/btn_finish""))",Chrome 126.0.0.0,,,29-07-2024 13:26:59,29-07-2024 13:27:00,0.530s,PASSED
"verifyElementVisible(findTestObject(""Checkout_complete/chckout_title_done""))",Chrome 126.0.0.0,,,29-07-2024 13:27:00,29-07-2024 13:27:00,0.498s,PASSED
