Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Checkout,Chrome 126.0.0.0,,,28-07-2024 13:44:18,28-07-2024 13:45:13,54.877s,FAILED
,,,,,,,
Test Cases/Web/Succes Login,Chrome 126.0.0.0,,,28-07-2024 13:44:18,28-07-2024 13:44:25,6.383s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,28-07-2024 13:44:19,28-07-2024 13:44:20,1.916s,PASSED
navigateToUrl(baseUrl),Chrome 126.0.0.0,,,28-07-2024 13:44:20,28-07-2024 13:44:21,0.313s,PASSED
"setText(findTestObject(""Success Login/input_username""), ""standard_user"")",Chrome 126.0.0.0,,,28-07-2024 13:44:21,28-07-2024 13:44:23,2.403s,PASSED
"setText(findTestObject(""Success Login/input_password""), password_success)",Chrome 126.0.0.0,,,28-07-2024 13:44:23,28-07-2024 13:44:24,0.646s,PASSED
"click(findTestObject(""Success Login/btn_login""))",Chrome 126.0.0.0,,,28-07-2024 13:44:24,28-07-2024 13:44:24,0.385s,PASSED
"verifyElementVisible(findTestObject(""Success Login/page_title""))",Chrome 126.0.0.0,,,28-07-2024 13:44:24,28-07-2024 13:44:25,0.414s,PASSED
,,,,,,,
Test Cases/Web/Success Checkout Product,Chrome 126.0.0.0,,,28-07-2024 13:45:11,28-07-2024 13:45:13,2.039s,FAILED
"click(findTestObject(""Homepage/button_add_to_cart""))",Chrome 126.0.0.0,,,28-07-2024 13:45:11,28-07-2024 13:45:13,2.022s,FAILED
